participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
PRM,patient,2800,0.578889,0.493748,18,0.346134,0.811644
PRM,patient,2850,0.588889,0.492161,18,0.356882,0.820896
PRM,patient,2900,0.501111,0.513373,18,0.259105,0.743117
PRM,patient,2950,0.560000,0.477592,18,0.334861,0.785139
PRM,patient,3000,0.555556,0.511310,18,0.314522,0.796589
PRM,patient,3050,0.516667,0.497535,18,0.282126,0.751207
PRM,patient,3100,0.422222,0.492432,18,0.190088,0.654357
PRM,patient,3150,0.358889,0.470518,18,0.137085,0.580693
PRM,patient,3200,0.294444,0.455647,18,0.079650,0.509239
PRM,patient,3250,0.300000,0.430595,18,0.097016,0.502984
PRM,patient,3300,0.405556,0.492857,18,0.173220,0.637891
PRM,patient,3350,0.415556,0.485680,18,0.186604,0.644507
PRM,patient,3400,0.417647,0.502786,17,0.173760,0.661534
PRM,patient,3450,0.427059,0.497943,17,0.185521,0.668597
